a,b,theta,z,A2,cx,cy,cz,status
5.7,7.9,60.0,5.2,4.0,0.0,-4.1,8.7,NotYet
5.7,7.9,60.0,5.2,4.0,0.0,3.8,19.1,NotYet
5.7,8.5,60.0,-0.2,4.0,0.0,2.8,13.6,NotYet
