theta,A2,a,b,z,status
60.0,-4.0,5.7,7.5,5.6,NotYet
60.0,-4.0,5.7,7.4,5.8,NotYet
60.0,-4.0,5.7,7.3,6.0,NotYet
60.0,-2.0,5.7,7.8,5.2,NotYet
60.0,-2.0,5.7,7.6,5.4,NotYet
60.0,-2.0,5.7,7.5,5.6,NotYet
60.0,-2.0,5.7,7.4,5.8,NotYet
60.0,-2.0,5.7,7.4,6.0,NotYet
60.0,0.0,5.7,8.0,4.8,NotYet
60.0,0.0,5.7,7.9,5.0,NotYet
60.0,0.0,5.7,7.8,5.2,NotYet
60.0,0.0,5.7,7.6,5.4,NotYet
60.0,0.0,5.7,7.6,5.6,NotYet
60.0,0.0,5.7,7.5,5.8,NotYet
60.0,0.0,5.7,7.5,6.0,NotYet
60.0,2.0,5.7,8.4,4.2,NotYet
60.0,2.0,5.7,8.2,4.4,NotYet
60.0,2.0,5.7,8.1,4.6,NotYet
60.0,2.0,5.7,8.0,4.8,NotYet
60.0,2.0,5.7,7.9,5.0,NotYet
60.0,2.0,5.7,7.8,5.2,NotYet
60.0,2.0,5.7,7.7,5.4,NotYet
60.0,2.0,5.7,7.7,5.6,NotYet
60.0,2.0,5.7,7.7,5.8,NotYet
60.0,2.0,5.7,7.7,6.0,NotYet
60.0,4.0,5.7,8.5,3.6,NotYet
60.0,4.0,5.7,8.4,3.8,NotYet
60.0,4.0,5.7,8.4,4.0,NotYet
60.0,4.0,5.7,8.3,4.2,NotYet
60.0,4.0,5.7,8.2,4.4,NotYet
60.0,4.0,5.7,8.1,4.6,NotYet
60.0,4.0,5.7,8.0,4.8,NotYet
60.0,4.0,5.7,8.0,5.0,NotYet
60.0,4.0,5.7,7.9,5.2,NotYet
60.0,4.0,5.7,7.9,5.4,NotYet
60.0,4.0,5.7,7.9,5.6,NotYet
60.0,4.0,5.7,7.9,5.8,NotYet
60.0,4.0,5.7,7.9,6.0,NotYet
60.0,6.0,5.8,8.4,3.6,NotYet
60.0,6.0,5.8,8.3,3.8,NotYet
60.0,6.0,5.8,8.3,4.0,NotYet
60.0,6.0,5.8,8.2,4.2,NotYet
60.0,6.0,5.8,8.2,4.4,NotYet
60.0,6.0,5.8,8.1,4.6,NotYet
60.0,6.0,5.8,8.1,4.8,NotYet
60.0,6.0,5.8,8.0,5.0,NotYet
60.0,6.0,5.8,8.0,5.2,NotYet
60.0,6.0,5.8,8.0,5.4,NotYet
60.0,6.0,5.8,8.0,5.6,NotYet
60.0,6.0,5.8,8.0,5.8,NotYet
60.0,6.0,5.8,8.1,6.0,NotYet
60.0,8.0,5.9,8.4,3.6,NotYet
60.0,8.0,5.8,8.4,3.8,NotYet
60.0,8.0,5.8,8.4,4.0,NotYet
60.0,8.0,5.8,8.4,4.2,NotYet
60.0,8.0,5.8,8.3,4.4,NotYet
60.0,8.0,5.8,8.3,4.6,NotYet
60.0,8.0,5.8,8.3,4.8,NotYet
60.0,8.0,5.8,8.3,5.0,NotYet
60.0,8.0,5.8,8.2,5.2,NotYet
60.0,8.0,5.8,8.3,5.4,NotYet
60.0,8.0,5.8,8.3,5.6,NotYet
60.0,10.0,5.9,8.5,3.6,NotYet
60.0,10.0,5.9,8.5,3.8,NotYet
60.0,10.0,5.9,8.5,4.0,NotYet
60.0,10.0,5.9,8.5,4.2,NotYet
60.0,10.0,5.9,8.5,4.4,NotYet
60.0,10.0,5.9,8.5,4.6,NotYet
60.0,10.0,5.9,8.5,4.8,NotYet
60.0,10.0,5.9,8.5,5.0,NotYet
