a,b,theta,z,A2,status
5.9,8.4,60.0,1.2,8.0,NotYet
5.9,8.4,60.0,0.4,8.0,NotYet
5.8,8.4,60.0,-1.2,6.0,NotYet
5.9,8.4,60.0,0.2,8.0,NotYet
6.1,7.9,65.0,0.0,4.0,NotYet
6.1,7.9,65.0,-0.2,4.0,NotYet
6.2,7.8,65.0,0.4,6.0,NotYet
6.2,7.8,65.0,0.2,6.0,NotYet
6.2,7.8,65.0,0.6,6.0,NotYet
6.2,7.8,65.0,0.0,6.0,NotYet
6.2,7.8,65.0,0.8,6.0,NotYet
6.1,7.9,65.0,0.2,4.0,NotYet
6.2,7.8,65.0,1.0,6.0,NotYet
6.1,7.9,65.0,-0.4,4.0,NotYet
6.2,7.8,65.0,-0.2,6.0,NotYet
6.2,7.9,65.0,0.4,4.0,NotYet
6.2,7.8,65.0,1.2,6.0,NotYet
6.2,7.8,65.0,-0.4,6.0,NotYet
6.1,7.9,65.0,-0.6,4.0,NotYet
6.2,7.9,65.0,0.6,4.0,NotYet
6.2,7.8,65.0,1.4,6.0,NotYet
6.1,8.0,65.0,-0.2,2.0,NotYet
6.1,8.0,65.0,0.0,2.0,NotYet
6.2,7.8,65.0,-0.6,6.0,NotYet
6.2,7.9,65.0,0.8,4.0,NotYet
6.1,8.0,65.0,-0.4,2.0,NotYet
6.2,7.9,65.0,-0.8,4.0,NotYet
6.3,7.8,65.0,0.8,8.0,NotYet
6.3,7.8,65.0,0.6,8.0,NotYet
6.3,7.8,65.0,1.0,8.0,NotYet
6.1,8.0,65.0,0.2,2.0,NotYet
6.2,7.9,65.0,1.0,4.0,NotYet
6.3,7.8,65.0,0.4,8.0,NotYet
6.1,8.0,65.0,-0.6,2.0,NotYet
6.2,7.8,65.0,1.6,6.0,NotYet
6.3,7.8,65.0,1.2,8.0,NotYet
6.2,7.8,65.0,-0.8,6.0,NotYet
6.2,7.9,65.0,-1.0,4.0,NotYet
6.1,7.9,65.0,1.2,4.0,NotYet
6.3,7.8,65.0,0.2,8.0,NotYet
6.1,8.0,65.0,-0.8,2.0,NotYet
6.1,8.0,65.0,0.4,2.0,NotYet
6.3,7.8,65.0,0.0,8.0,NotYet
6.1,7.9,65.0,1.4,4.0,NotYet
6.6,7.4,70.0,0.0,4.0,NotYet
6.6,7.4,70.0,-0.2,4.0,NotYet
6.6,7.4,70.0,0.2,4.0,NotYet
6.6,7.4,70.0,-0.4,4.0,NotYet
6.6,7.4,70.0,0.4,4.0,NotYet
6.6,7.4,70.0,0.2,6.0,NotYet
6.6,7.4,70.0,0.0,6.0,NotYet
6.6,7.4,70.0,0.4,6.0,NotYet
6.5,7.5,70.0,-0.2,2.0,NotYet
6.5,7.5,70.0,0.0,2.0,NotYet
6.6,7.4,70.0,-0.6,4.0,NotYet
6.6,7.4,70.0,0.6,6.0,NotYet
6.6,7.4,70.0,-0.2,6.0,NotYet
6.6,7.4,70.0,0.6,4.0,NotYet
6.5,7.5,70.0,-0.4,2.0,NotYet
6.6,7.4,70.0,0.8,6.0,NotYet
6.5,7.5,70.0,0.2,2.0,NotYet
6.6,7.4,70.0,-0.4,6.0,NotYet
6.5,7.5,70.0,-0.6,2.0,NotYet
6.6,7.4,70.0,0.8,4.0,NotYet
6.6,7.4,70.0,1.0,6.0,NotYet
6.6,7.4,70.0,-0.8,4.0,NotYet
6.5,7.5,70.0,0.4,2.0,NotYet
6.5,7.5,70.0,-0.8,2.0,NotYet
6.6,7.4,70.0,-0.6,6.0,NotYet
6.6,7.4,70.0,1.0,4.0,NotYet
6.6,7.4,70.0,1.2,6.0,NotYet
6.6,7.4,70.0,-1.0,4.0,NotYet
6.5,7.5,70.0,-1.0,2.0,NotYet
6.6,7.4,70.0,1.2,4.0,NotYet
6.7,7.4,70.0,0.6,8.0,NotYet
6.7,7.4,70.0,0.8,8.0,NotYet
6.5,7.5,70.0,0.6,2.0,NotYet
6.5,7.5,70.0,-1.2,2.0,NotYet
6.7,7.4,70.0,0.4,8.0,NotYet
6.6,7.4,70.0,1.4,6.0,NotYet
6.6,7.4,70.0,-0.8,6.0,NotYet
6.6,7.4,70.0,-1.2,4.0,NotYet
6.7,7.4,70.0,1.0,8.0,NotYet
6.5,7.5,70.0,-1.4,2.0,NotYet
